sense	file	token_index	form	deciding_evidence	kwic
MIL	caesar/gall7.txt	10830	musculos	"crates longurios musculos falces" - siege gear at Alesia	lesiae suos conspicatus ex oppido egreditur crates longurios [MUSCULOS] falces reliquaque quae eruptionis causa paraverat profert pu
ANAT	cassiodorus/varia7.txt	3770	musculos	"musculos tumentes" of a bronze statue	is custodiret conspiciet expressas in aere venas nisu quodam [MUSCULOS] tumentes nervos quasi gradu tensos et sic hominem fusum in d
MOUSE	cicero/divinatione2.txt	3212	musculorum	"musculorum iecuscula bruma augeri" - mice livers	ontagio quam esse concedo multa enim stoici conligunt nam et [MUSCULORUM] iecuscula bruma dicunt augeri et puleium aridum florescere b
MOUSE	cicero/repub3.txt	1525	musculos	"tamquam hos ex arvis musculos extitisse" - field mice	ndo existeret commenti sunt se de terra tamquam hos ex arvis [MUSCULOS] extitisse ad haec illa dici solent primum ab iis qui minime 
ANAT	columella/columella.rr6.txt	1482	musculis	"nervisque et musculis robusta"; "musculorum toris" - ox and horse	 modica corporatura pecoris operarii debet esse nervisque et [MUSCULIS] robusta non adipibus obesa ut nec sui tergoris mole nec labo
ANAT	columella/columella.rr6.txt	7077	musculorum	"nervisque et musculis robusta"; "musculorum toris" - ox and horse	e nec longa densa iuba et per dextram partem profusa lato et [MUSCULORUM] toris numeroso pectore grandibus armis et rectis lateribus i
MIL	data/phi0448/phi002/phi0448.phi002.perseus-lat2.xml	12152	musculum	Perseus copy of Caesar BC 2.10	a turri quae circum essent opera tueri se posse sunt confisi [MUSCULUM] pedes lx longum ex materia bipedali quem a turri latericia a
MIL	data/phi0448/phi002/phi0448.phi002.perseus-lat2.xml	12222	musculi	Perseus copy of Caesar BC 2.10	edalia iniciunt eaque aminis clavisque religant lad extremum [MUSCULI] tectum trabesque extremas quadratas regulas iiii patentis di
MIL	data/phi0448/phi002/phi0448.phi002.perseus-lat2.xml	12331	musculi	Perseus copy of Caesar BC 2.10	ctum firmitas materiae sustinet et quidquid incidit fastigio [MUSCULI] elabitur id ubi vident mutant consilium cupas taeda ac pice 
MOUSE	data/phi0474/phi053/phi0474.phi053.perseus-lat3.xml	16675	musculorum	Perseus copy of Cic. Div. 2	ontagio quam esse concedo multa enim stoici colligunt nam et [MUSCULORUM] iecuscula bruma dicuntur augeri et puleium aridum florescere
SHELL	data/phi0836/phi002/phi0836.phi002.perseus-lat4.xml	20003	musculi	Celsus 2.18 food list: "ostrea pelorides echini musculi et omnes fere conchulae"	nutae aves cocleae garum salsamentum ostrea pelorides echini [MUSCULI] et omnes fere conchulae maximeque ius earum saxatiles et omn
ANAT	data/phi0836/phi002/phi0836.phi002.perseus-lat4.xml	51443	musculum	Celsus, surgical/anatomical context (De Medicina bks 5-8)	locis vel in articulis vel inter digitos est item quodcumque [MUSCULUM] aut nervum aut arteriam aut membranam aut os aut cartilagine
ANAT	data/phi0836/phi002/phi0836.phi002.perseus-lat4.xml	52635	musculus	Celsus, surgical/anatomical context (De Medicina bks 5-8)	atis multo sanguine effuso ex eo loco quo neque nervus neque [MUSCULUS] est ut puta in fronte vel superiore capitis parte commodissi
ANAT	data/phi0836/phi002/phi0836.phi002.perseus-lat4.xml	52686	musculus	Celsus, surgical/anatomical context (De Medicina bks 5-8)	ri potest ubi laesum est vel os vel nervus vel cartilago vel [MUSCULUS] aut ubi parum sanguinis pro modo vulneris fluxit ergo quotie
ANAT	data/phi0836/phi002/phi0836.phi002.perseus-lat4.xml	52740	musculus	Celsus, surgical/anatomical context (De Medicina bks 5-8)	 est multoque magis si id vulnus ebrietas praecessit quod si [MUSCULUS] laesus videbitur praecidendus erit nam percussus mortiferus 
ANAT	data/phi0836/phi002/phi0836.phi002.perseus-lat4.xml	53197	musculi	Celsus, surgical/anatomical context (De Medicina bks 5-8)	od ubi incidit non alienum est scalpello latius aperire nisi [MUSCULI] nervique iuxta sunt quos incidi non expedit ubi satis diduct
ANAT	data/phi0836/phi002/phi0836.phi002.perseus-lat4.xml	53228	musculos	Celsus, surgical/anatomical context (De Medicina bks 5-8)	s parum diductum est latius tamen aperiri propter nervos aut [MUSCULOS] non licet adhibenda sunt ea quae umorem leniter extrahant pr
ANAT	data/phi0836/phi002/phi0836.phi002.perseus-lat4.xml	54973	musculi	Celsus, surgical/anatomical context (De Medicina bks 5-8)	fficillimum est utique in corpore iuvenili et magis etiam si [MUSCULI] integri sunt si nervi vel laesi non sunt vel leviter adfecti
ANAT	data/phi0836/phi002/phi0836.phi002.perseus-lat4.xml	59672	musculos	Celsus, surgical/anatomical context (De Medicina bks 5-8)	s sunt itemque si fistula os vel cartilaginem vel nervum vel [MUSCULOS] laesit si articulum occupavit si vel ad vessicam vel ad pulm
ANAT	data/phi0836/phi002/phi0836.phi002.perseus-lat4.xml	76684	musculus	Celsus, surgical/anatomical context (De Medicina bks 5-8)	 quod intus tenet si quando tamen ab inferiore parte tunicae [MUSCULUS] inhaesit ne is laedatur superior pars illius decidenda at im
ANAT	data/phi0836/phi002/phi0836.phi002.perseus-lat4.xml	79654	musculorum	Celsus, surgical/anatomical context (De Medicina bks 5-8)	 lineas ad tempora deducerent cognitisque ex motu maxillarum [MUSCULORUM] initiis leviter super eos cutem inciderent diductisque per r
ANAT	data/phi0836/phi002/phi0836.phi002.perseus-lat4.xml	79845	musculi	Celsus, surgical/anatomical context (De Medicina bks 5-8)	ferramentis adurere contra tempora quidem timide ne subiecti [MUSCULI] qui maxillas tenent sentiant inter frontem vero et verticem 
ANAT	data/phi0836/phi002/phi0836.phi002.perseus-lat4.xml	91336	musculis	Celsus, surgical/anatomical context (De Medicina bks 5-8)	pillus ut verisimile est ob id ipsum non gignitur sub quoque [MUSCULIS] qui tempora conectunt os medium in exteriorem partem inclina
ANAT	data/phi0836/phi002/phi0836.phi002.perseus-lat4.xml	91631	musculis	Celsus, surgical/anatomical context (De Medicina bks 5-8)	giusque procedens sub osse iugali subit et super id temporum [MUSCULIS] inligatur alter brevior et rotundior et in eo sinu qui iuxta
ANAT	data/phi0836/phi002/phi0836.phi002.perseus-lat4.xml	92132	musculis	Celsus, surgical/anatomical context (De Medicina bks 5-8)	m nisi vel in summo nulli ossi inhaerescunt ibi vero validis [MUSCULIS] nervisque constricta sunt at a summa costa paulo interius qu
ANAT	data/phi0836/phi002/phi0836.phi002.perseus-lat4.xml	94699	musculos	Celsus, surgical/anatomical context (De Medicina bks 5-8)	s et caput altius excitandum neque id ullum metum nisi inter [MUSCULOS] qui tempora continent adfert sed ibi quoque nihil tutius fit
ANAT	data/phi0836/phi002/phi0836.phi002.perseus-lat4.xml	96226	musculum	Celsus, surgical/anatomical context (De Medicina bks 5-8)	so innituntur et carnem vulnerant interdum nervum quoque aut [MUSCULUM] quin etiam aliquando plura fragmenta fiunt sed in aliis quid
ANAT	data/phi0836/phi002/phi0836.phi002.perseus-lat4.xml	97627	musculi	Celsus, surgical/anatomical context (De Medicina bks 5-8)	 ubi loco suo non sunt membrum id altero iam erit brevius et [MUSCULI] eius tument ergo si hoc deprensum est protinus id membrum op
ANAT	data/phi0836/phi002/phi0836.phi002.perseus-lat4.xml	98815	musculi	Celsus, surgical/anatomical context (De Medicina bks 5-8)	ssis fracturae carnis quoque vulnus accessit maxumeque si id [MUSCULI] femoris aut umeri senserunt nam et inflammationes multo grav
ANAT	data/phi0836/phi002/phi0836.phi002.perseus-lat4.xml	98867	musculus	Celsus, surgical/anatomical context (De Medicina bks 5-8)	ta ipsos articulos ictum est curiosius igitur agendum est et [MUSCULUS] quidem per mediam plagam transversus praecidendus sanguis ve
ANAT	data/phi0836/phi002/phi0836.phi002.perseus-lat4.xml	100115	musculis	Celsus, surgical/anatomical context (De Medicina bks 5-8)	osiusque haec facere in ossibus motis quae validis plenisque [MUSCULIS] continentur si vero etiam febris accessit multo magis deinde
ANAT	data/phi0836/phi002/phi0836.phi002.perseus-lat4.xml	100227	musculi	Celsus, surgical/anatomical context (De Medicina bks 5-8)	que dentes longius quam superiores excedunt intentique super [MUSCULI] apparent primo quoque tempore autem homo in sedili conlocand
ANAT	data/phi0836/phi002/phi0836.phi002.perseus-lat4.xml	101912	musculos	Celsus, surgical/anatomical context (De Medicina bks 5-8)	 quoque si quis perseveraverit non solum extendere nervos et [MUSCULOS] possunt collocandus autem homo super id scamnum est aut pron
ANAT	data/phi0836/phi002/phi0836.phi002.perseus-lat4.xml	102307	musculis	Celsus, surgical/anatomical context (De Medicina bks 5-8)	 gravius quo maius membrum est quove validioribus nervis aut [MUSCULIS] continetur ideoque in umeris femoribusque metus mortis est a
ANAT	data/phi0845/phi002/phi0845.phi002.perseus-lat3.xml	63484	musculis	Perseus copy of Columella 6	nem sa mutatione c cui sar commodo s commoda ar nervisque et [MUSCULIS] robusta non adipibus obesa ut nec sui tergoris mole nec labo
ANAT	data/phi0917/phi001/phi0917.phi001.perseus-lat2.xml	47456	musculus	Perseus copy of Lucan 9	e surae fluxere sine ullo tegmine poples erat femorum quoque [MUSCULUS] omni liquitur et nigra distillant inguina tabe dissiluit str
MOUSE	data/phi0978/phi001/phi0978.phi001.perseus-lat2.xml	71250	musculi	NH 2: "aquatiles musculi" at Stymphalus, among marvels of springs	 rv j stymphali nascuntur enascuntur f r va j om r aquatiles [MUSCULI] mela ii sol augustin civ dei xxi isid or xiii herodot iv dio
MOUSE	data/phi0978/phi001/phi0978.phi001.perseus-lat2.xml	223159	musculi	NH 8: "ruinis inminentibus musculi praemigrant" - mice flee before a collapse	one ael vi extr plut sa a ael xi vi vh i ruinis inminentibus [MUSCULI] praemigrant praemigrant f e v praenegant ecant r r aranei cu
MOUSE	data/phi0978/phi001/phi0978.phi001.perseus-lat2.xml	257502	musculi	NH 9: mice half-formed from Nile mud, "musculi reperiuntur inchoato opere"	raculo excedentem miraculo la v f a va h quippe detegente eo [MUSCULI] reperiuntur inchoato opere genitalis aquae terraeque iam par
FISH	data/phi0978/phi001/phi0978.phi001.perseus-lat2.xml	258257	musculus	NH 9: "societatem ballaena et musculus" - the whale and its companion	 quorum diximus societatem societate ed d ate rv ballaena et [MUSCULUS] quando quandoque f e va g praegravi praegraui e v uis fr a u
MOUSE	data/phi0978/phi001/phi0978.phi001.perseus-lat2.xml	279127	musculos	NH 10: birds/cats "in musculos exiliunt" - pounce on mice	uis f r vestigiis obrepunt avibus quam occulte speculatae in [MUSCULOS] exiliunt excrementa sua effossa obruunt terra intellegentes 
FISH	data/phi0978/phi001/phi0978.phi001.perseus-lat2.xml	298118	musculus	NH 11: "musculus marinus qui ballaenam antecedit nullos habet [dentes]"	sculis masculis de v li fr reflexi feminis recti atque proni [MUSCULUS] musculus f r v masc r marinus qui ballaenam antecedit nullos
NOISE	data/phi0978/phi001/phi0978.phi001.perseus-lat2.xml	298119	musculus	apparatus repetition of the preceding lemma	sculis de v li fr reflexi feminis recti atque proni musculus [MUSCULUS] f r v masc r marinus qui ballaenam antecedit nullos habet ha
ANAT	data/phi0978/phi001/phi0978.phi001.perseus-lat2.xml	496866	musculis	NH 23-ish: remedy applied "musculis nervis articulis"	ibus cum melle et resina item contusis luxatis tumentibus et [MUSCULIS] nervis articulis inposuit ut supra spasticis ut supra spasti
ANAT	data/phi0978/phi001/phi0978.phi001.perseus-lat2.xml	499226	musculorum	NH: "musculorum nervorum articulorum cervicium" - body parts	 g mae v me rv semine seminae v fiunt ecligmata et ligmata v [MUSCULORUM] nervorum articulorum cervicium ceruitium e ceruicum d v a d 
NOISE	data/phi0978/phi001/phi0978.phi001.perseus-lat2.xml	500674	musculus	apparatus: "ramusculus v MUSCULUS b del. Verc." - a variant reading, not text	is uuluis h cum gronovio uultuis vef uultui r t ramusculus v [MUSCULUS] b del verc for tasse recte an uel illitu est utilis utilis v
MOUSE	data/phi0978/phi001/phi0978.phi001.perseus-lat2.xml	618464	musculorum	NH 25: the plant imitates "musculorum aures" - mouse-ear, myosotis	ia hieme hieme media om r arescit aestate media cum prorepit [MUSCULORUM] aures imitatur foliis sed aliam docebimus esse quae iustius 
MOUSE	data/phi0978/phi001/phi0978.phi001.perseus-lat2.xml	621557	musculis	NH 29: ink "litteras a musculis tuetur" - protects writing from mice	ur atramentum librarium ex diluto eius temperatum litteras a [MUSCULIS] musculis d b e diosc muscis r tf v tuetur capillum denigrat 
NOISE	data/phi0978/phi001/phi0978.phi001.perseus-lat2.xml	621558	musculis	apparatus repetition of the preceding lemma	ntum librarium ex diluto eius temperatum litteras a musculis [MUSCULIS] d b e diosc muscis r tf v tuetur capillum denigrat absinthii
FISH	data/phi0978/phi001/phi0978.phi001.perseus-lat2.xml	735424	musculi	NH 32: sea-creature list "rotae orcae arietes musculi et alii piscium forma"	es elephanti homines qui marini vocantur rotae orcae arietes [MUSCULI] et alii ali b d piscium forma arietes arietes ll v cfr ix et
ANAT	data/phi1212/phi002/phi1212.phi002.perseus-lat1.xml	36545	musculos	Perseus copy of Apuleius Met. 8, same passage	in circulum rotantes et nonnunquam morsibus suos incursantes [MUSCULOS] ad postremum ancipiti ferro quod gerebant sua quisque brachi
SHELL	data/stoa0045/stoa011/stoa0045.stoa011.perseus-lat2.xml	3512	musculis	Ausonius Ep., "de ostreis et musculis"; "iunctus limicolis musculus ostreis"	isti inventa inter tineas epistula vetere quam de ostreis et [MUSCULIS] adfectata obscuritate condideram quae adulescens temere fude
SHELL	data/stoa0045/stoa011/stoa0045.stoa011.perseus-lat2.xml	3759	musculus	Ausonius Ep., "de ostreis et musculis"; "iunctus limicolis musculus ostreis"	bus molestus triginta numero fuere cunctae iunctus limicolis [MUSCULUS] ostreis primo conposuit fereula prandio gratus deliciis nobi
ANAT	data/stoa0275/stoa012/stoa0275.stoa012.opp-lat1.xml	3892	musculos	Perseus copy of Tertullian De Carne Christi	 caro quam terra in figura sua considera singulas qualitates [MUSCULOS] ut glebas ossa ut saxa etiam circum papillas calculos quosda
POST	descartes/des.med6.txt	2887	musculis	Descartes, Meditationes - anatomical, 17th c.	 corpus quatenus machinamentum quoddam est ex ossibus nervis [MUSCULIS] venis sanguine pellibus ita aptum compositum ut etiamsi null
MOUSE	fronto.txt	3601	musculus	"ne musculus iste aliquid rimari possit" - a prying little mouse	si chartam diligenter lino transui et ita linum obsignavi ne [MUSCULUS] iste aliquid aliqua rimari possit nam mihi ipse de tuis hexa
ANAT	isidore/11.txt	2086	musculorum	Etym. 11.1, "tori id est musculi"; etymology from mice given explicitly	ignificatur in brachiis enim tori lacertorum sunt et insigne [MUSCULORUM] robur existit hi sunt tori id est musculi et dicti tori quod
ANAT	isidore/11.txt	2094	musculi	Etym. 11.1, "tori id est musculi"; etymology from mice given explicitly	sunt et insigne musculorum robur existit hi sunt tori id est [MUSCULI] et dicti tori quod illic viscera torta videantur cubitum dic
ANAT	isidore/11.txt	3718	musculi	Etym. 11.1, "tori id est musculi"; etymology from mice given explicitly	 nomine similium animalium sub terra delitescentium nam inde [MUSCULI] a murium similitudine idem etiam et tori quod illic viscera 
ANAT	isidore/12.txt	1517	musculorum	Etym. 12.1, the horse: "corpus omne musculorum densitate nodosum"	ctus maxime et rotundi clunis pectus late patens corpus omne [MUSCULORUM] densitate nodosum pes siccus et cornu concavo solidatus pulc
FISH	isidore/12.txt	6557	musculus	Etym. 12.6: "musculus quod sit ballenae masculus"	tat ut solea quod sit instar calciamentorum soleis a sexu ut [MUSCULUS] quod sit ballenae masculus eius enim coitu concipere haec be
FISH	isidore/12.txt	6571	musculi	Etym. 12.6: "musculus quod sit ballenae masculus"	lus eius enim coitu concipere haec bellua perhibetur hinc et [MUSCULI] coclearum quorum lacte concipiunt ostreae ballenae autem sun
SHELL	isidore/12.txt	7829	musculi	Etym. 12.6: "musculi ... cochleae a quorum lacte concipiunt ostreae"	stra vocant ostrea autem neutrum carnes eius feminino dicunt [MUSCULI] sunt ut praediximus cochleae a quorum lacte concipiunt ostre
SHELL	isidore/12.txt	7841	musculi	Etym. 12.6: "musculi ... cochleae a quorum lacte concipiunt ostreae"	ediximus cochleae a quorum lacte concipiunt ostreae et dicti [MUSCULI] quasi masculi pelorides a peloro promontorio siciliae ubi ab
MIL	isidore/18.txt	2492	musculus	Etym. 18.11 DEFINITION: "musculus cuniculo similis fit quo murus perfoditur"	corio crudo intextae quae in opere faciendo hosti obiciuntur [MUSCULUS] cuniculo similis fit quo murus perfoditur ex quo et appellat
NAV	isidore/19.txt	303	musculus	Etym. 19.1 DEFINITION: "musculus curtum navigium"	camus dictae eo quod longiores sint ceteris cuius contrarius [MUSCULUS] curtum navigium dromo autem a decurrendo dictus cursum enim 
ANAT	lucan/lucan9.txt	4948	musculus	"femorum quoque musculus omnis liquitur"	e surae fluxere sine ullo tegmine poples erat femorum quoque [MUSCULUS] omnis liquitur et nigra destillant inguina tabe dissiluit st
POST	newton.scholium.txt	1225	musculos	Newton, Scholium Generale - anatomical, 18th c.	lamenta ab externis sensuum organis ad cerebrum a cerebro in [MUSCULOS] propagatis sed h c paucis exponi non possunt neque adest suf
NAV	notitia2.txt	3682	musculorum	"cohortis ... musculorum Scythicorum et classis" - a riverine naval command	 ripae legionis primae ioviae cohortis et secundae herculiae [MUSCULORUM] scythicorum et classis inplateypegiis officium autem habet i
SHELL	plautus/rudens.txt	2225	musculos	fisherman's catalogue: "conchas ... musculos plagusias"	nos lopadas ostreas balanos captamus conchas marinam urticam [MUSCULOS] plagusias striatas post id piscatum hamatilem et saxatilem a
ANAT	pliny.ep3.txt	1838	musculi	"ossa musculi nervi venae" - a portrait bust	 celat aut laudes parum ostentat effingit senem stantem ossa [MUSCULI] nervi venae rugae etiam ut spirantis apparent rari et cedent
ANAT	pliny.ep5.txt	3300	musculi	"ossa musculi nervi" - oratorical style metaphor	nia recondita splendida excelsa conveniunt hanc saepius ossa [MUSCULI] nervi illam tori quidam et quasi iubae decent haec vel maxim
MOUSE	pliny.nh2.txt	15852	musculi	"aquatiles musculi" at Stymphalus - water-mice among marvels of springs	or aestate in eo ut in arcadia stymphali nascuntur aquatiles [MUSCULI] in dodone iovis fons cum sit gelidus et inmersas faces extin
ANAT	sidonius1.txt	431	musculis	"musculis prominentibus latus" - description of a body	excrementa costarum spina discriminat tuberosum est utrumque [MUSCULIS] prominentibus latus in succinctis regnat vigor ilibus corneu
FISH	sidonius5.txt	2510	musculis	"musculis similis ... ballaenarum corpulentiam praegubernantibus"	at utpote beluam suam de valle tarnis ducaliter antecessurus [MUSCULIS] similis inter saxosa vel brevia ballaenarum corpulentiam pra
MOUSE	solinus3.txt	867	musculis	"odorem muris ... pabula quae a musculis contacta sunt recusant"	abent palmas odorem muris vel maxime fugiunt pabula etiam qu [MUSCULIS] contacta sunt recusant si quis casu cham leontem devoraverit
MOUSE	solinus3a.txt	1565	musculis	same passage, variant Solinus file	t palmas odorem muris vel maxime fugiunt pabula etiam quae a [MUSCULIS] contacta sint recusant si quis casu chamaeleontem devoraveri
MOUSE	solinus5.txt	17876	musculis	same passage, variant Solinus file	t palmas odorem muris uel maxime fugiunt pabula etiam quae a [MUSCULIS] contacta sint recusant si quis casu chamaeleontem deuoraueri
ANAT	tertullian/tertullian.carne.txt	1936	musculis	"sine musculis solidam"; "musculos ut glebas"	dem in semetipsum ut carnem gestaret sine ossibus duram sine [MUSCULIS] solidam sine sanguine cruentam sine tunica vestitam sine fam
ANAT	tertullian/tertullian.carne.txt	3928	musculos	"sine musculis solidam"; "musculos ut glebas"	terra conversa in figuras suas considera singulas qualitates [MUSCULOS] ut glebas ossa ut saxa etiam circum papillas calculos quosda
ANAT	testamentum.txt	187	musculos	Testamentum Porcelli, "musculos cursoribus" - the pig's muscles	a mulieribus lumbulos pueris vesicam puellis caudam cinaedis [MUSCULOS] cursoribus et venatoribus talos latronibus ungulas et nec no
MIL	vegetius2.txt	4696	musculos	2.25 "testudines musculos arietes uineas"	 ferramentis qui ad obpugnandas hostium ciuitates testudines [MUSCULOS] arietes uineas ut appellant turres etiam ambulatorias faciun
MIL	vegetius4.txt	123	musculis	4.13/4.16 DEFINITION: "musculos dicunt minores machinas"	ete falce testudine xv de uineis de pluteis de aggere xvi de [MUSCULIS] xvii de turribus ambulatoriis xviii quemadmodum ambulatoria 
MIL	vegetius4.txt	1611	musculi	4.13/4.16 DEFINITION: "musculos dicunt minores machinas"	xiii admouentur enim testudines arietes falces uineae plutei [MUSCULI] turres de quibus singulis qualiter fabricentur quo etiam pac
MIL	vegetius4.txt	1858	musculos	4.13/4.16 DEFINITION: "musculos dicunt minores machinas"	 lignisque extollitur contra murum de quo tela iactantur xvi [MUSCULOS] dicunt minores machinas quibus protecti bellatores sudatum a
MIL	vegetius4.txt	1894	musculi	4.13/4.16 DEFINITION: "musculos dicunt minores machinas"	pedimento iungantur ad murum vocantur autem a marinis beluis [MUSCULI] nam quemadmodum illi cum minores sint tamen ballenis auxiliu
