tablet_id	label	transliteration
1029	KN Xd 7597	KN Xd 7597, ka-ta-[
103	KN Np(1) 8059	KN Np(1) 8059, ]N° 2 ↓ ]$vest.
1030	KN Xd 7598	KN Xd 7598, ku-ru-[
1031	KN Xd 7604	KN Xd 7604, qa-[
1032	KN Xd 7606	KN Xd 7606, e-[
1033	KN Xd 7607	KN Xd 7607, pi-r°i°[
1034	KN Xd 7609	KN Xd 7609, ra-w°i°[
1035	KN Sc(2) 7610	KN Sc(2) 7610, a-ko-to _ [
1036	KN Vc(5) 7614	KN Vc(5) 7614, ru-wa[
1037	KN Sc(6) 7634	KN Sc(6) 7634, ka-ro-qo __ [°
1038	KN Vc(1) 7640	KN Vc(1) 7640, e-ko-[
1039	KN Sc(6) 7648	KN Sc(6) 7648, a-re-[ ↓  a-[
104	KN Np(1) 8062	KN Np(1) 8062, ]P 2
1041	KN Xd 7651	KN Xd 7651, di-ki[
1042	KN Xd 7654	KN Xd 7654, ]e-u[
1043	KN Vc(5) 7656	KN Vc(5) 7656, ke-ku-r°o°[
1044	KN Xd(2) 7658	KN Xd(2) 7658, i-to-m°a°[
1045	KN Sc(6) 7662	KN Sc(6) 7662, ma-ra _ [
1046	KN Xd 7663	KN Xd 7663, re-wo _ [
1047	KN Xd 7664	KN Xd 7664, wo-tu[
1048	KN Np(1) 7665	KN Np(1) 7665, ta-[
105	KN Np(1) 8123	KN Np(1) 8123, ]2° _ P 1 _ [
1050	KN Xd(6) 7667	KN Xd(6) 7667, po-ta-[
1051	KN Xd 7674	KN Xd 7674, a-ti[
1052	KN Xd 7675	KN Xd 7675, ]i-se-r°e°[
1053	KN Xd 7676	KN Xd 7676, a-wa[
1054	KN Sc(6) 7680	KN Sc(6) 7680, ki-ri[
1055	KN Np(1) 7701	KN Np(1) 7701, a-[
1056	KN Xd 7702	KN Xd 7702, me-nu-wa[
1057	KN Xd 7726	KN Xd 7726, ] ________ me[ ]p°a°-ro , / se[
1058	KN Xd 7730	KN Xd 7730, _ $sup. $mut. ] _ $vest. [ ]°to-so-p°a°[ _ $inf. $mut.
1059	KN Xd 7733	KN Xd 7733, _ $sup. $mut. ]-ri ______ [ ____ ]ja[ _ $inf. $mut.
106	KN Np(2) 8249	KN Np(2) 8249, ]CROC _ N[
1060	KN Sc 7756	KN Sc 7756, ][[_]i°-t°a° E°Q°U°[_]][ ↓ ]ri-so-wa[
1061	KN Ag 7757	KN Ag 7757, ]o-pi , a-ne[
1062	KN Vc(2) 7761	KN Vc(2) 7761, ]wa / na-ni[
1063	KN Xd 7766	KN Xd 7766, ]wi-pe-wa _ 1° ____ [
1064	KN Xd 7780	KN Xd 7780, ]du-wo-pe[
1065	KN Xd 7783	KN Xd 7783, ]°e°-ri-ko-wo _ [
1066	KN Xd 7790	KN Xd 7790, ]-ki-se[
1067	KN Sc 7802	KN Sc 7802, ]6 _ qe[ ] __ wa[ ↓ ]1° ___ [
1068	KN Sc(5) 7807	KN Sc(5) 7807, ][[BIG]] E°Q°U°[ → ]nu-a[
1069	KN Xd 7808	KN Xd 7808, ]-*22-jo , [
107	KN Np(1) 8437	KN Np(1) 8437, ]CROC _ [ _ $inf. $mut.
1070	KN Xd 7809	KN Xd 7809, ]i-jo _ [
1071	KN Vc(6) 7811	KN Vc(6) 7811, ]me-re-ja[
1072	KN Vc(7) 7813	KN Vc(7) 7813, ]-ko ,° ke-ti-ro ↓ ] qi
1073	KN Xd 7819	KN Xd 7819, ]q°i°-ja _ [
1074	KN Sc(5) 7841	KN Sc(5) 7841, ]u-te[  $inf. $mut. ↓  $sup. $mut. ]E°Q°U° 1[
1075	KN Xd 7906	KN Xd 7906, ]ka-ra-na-ta[
1076	KN Sc(6) 7913	KN Sc(6) 7913, ]ke-ke-me[
1077	KN Xd 7914	KN Xd 7914, ]k°e°-wa , pa-[
1078	KN Xd 7945	KN Xd 7945, ]w°o°-no-da[
1079	KN Sc 7948	KN Sc 7948, ]ra-ko B°I°G°[
108	KN Np(2) 8457	KN Np(2) 8457, ] P 10[ _
1080	KN Xd 7949	KN Xd 7949, ]t°o° , ti[
1081	KN Xd(5) 7954	KN Xd(5) 7954, a-me-ja[
1082	KN Sc(6) 7956	KN Sc(6) 7956, e-ke[
1083	KN Sc(6) 7961	KN Sc(6) 7961, ]k°o°-no [
1084	KN Xd(5) 7968	KN Xd(5) 7968, ]-ne-u°[
1085	KN Xd 7970	KN Xd 7970, ]-na[ ↓ ]e-qe[
1086	KN Sc(6) 7975	KN Sc(6) 7975, ke-nu[
1087	KN Np(1) 7978	KN Np(1) 7978, ]e-[
1088	KN Xd 7981	KN Xd 7981, ]-wo[
1089	KN Xd 7986	KN Xd 7986, ]mo-[
109	KN Np(1) 8458	KN Np(1) 8458, ]j°o° _ CROC[
1090	KN Xd 8012	KN Xd 8012, _ $sup. $mut. ]1 ]34 ]8°2° _ $inf. $mut.
1091	KN Xd 8021	KN Xd 8021, ]ta
1092	KN Sc(3) 8030	KN Sc(3) 8030, ] 2 __ [
1093	KN Xd 8034	KN Xd 8034, _ $sup. $mut. ]$vest. ] $o 8 ]t°a°-ra _ $o 1 → _ $sup. $mut. $vacat [ $vacat [
1094	KN Xd(5) 8037	KN Xd(5) 8037, ]w°a°-jo _ 1
1095	KN Xd(5) 8054	KN Xd(5) 8054, pa-pa-r°o°[
1096	KN Xd 8056	KN Xd 8056, ']n°o°' _ 1 ↓ ]no-da _ 2
1097	KN Xd 8060	KN Xd 8060, ]7
1098	KN Xd 8061	KN Xd 8061, ]u-k°e°
1099	KN Xd 8082	KN Xd 8082, ] 1
11	KN Nc 4489	KN Nc 4489, ]°qa-ra-su-ti-jo ___ M [
110	KN Np(1) 8459	KN Np(1) 8459, ]C°R°O°C° _ P[ _ $inf. $mut.
1100	KN Xd(5) 8128	KN Xd(5) 8128, da-i-[
1101	KN Sc(6) 8129	KN Sc(6) 8129, qe[
1102	KN Xd 8130	KN Xd 8130, do-ri[
1103	KN Xd 8132	KN Xd 8132, ]$vest. , / ri-*6°5°[
1104	KN Xd 8134	KN Xd 8134, _ $sup. $mut. ]ta _ [
1105	KN Xd 8135	KN Xd 8135, _ $sup. $mut. ]s°a° / t°i°[
1106	KN Xd 8137	KN Xd 8137, ]no[
1107	KN Xd 8138	KN Xd 8138, ]-ke-[
1108	KN Xd(5) 8277	KN Xd(5) 8277, _ $sup. $mut. ]ka-de[
1109	KN Xd 8501	KN Xd 8501, ]-a-jo _ 1°[°
111	KN Np(1) 8462	KN Np(1) 8462, ]P°[ _ $inf. $mut.
1110	KN Xd 8505	KN Xd 8505, ]a[ _ $inf. $mut.
1111	KN Xd 8508	KN Xd 8508, ] , di-[
1112	KN Xd 8510	KN Xd 8510, do[
1113	KN Xd 8511	KN Xd 8511, ]wo _ 1 [
1114	KN Xd 8525	KN Xd 8525, ]-ja-me[
1115	KN Xd 8553	KN Xd 8553, ] , ku-[
1116	KN Xd 8566	KN Xd 8566, ]me[
1117	KN Xd 8583	KN Xd 8583, qa-[
1118	KN Xd 8596	KN Xd 8596, ]s°a°-[ _ $inf. $mut.
1119	KN Xd 8597	KN Xd 8597, si-ra-[
1120	KN Xd 8605	KN Xd 8605, ]°ta-ta-r°o°[ _ $inf. $mut.
1121	KN Xd 8635	KN Xd 8635, zo-[
1122	KN Xd 8638	KN Xd 8638, ]2
1123	KN Xd(5) 8640	KN Xd(5) 8640, ] 1
1124	KN Xd 8653	KN Xd 8653, ]wa-jo _ [[1°5°9°]]
1125	KN Xd 8686	KN Xd 8686, ] 1 [ _ $inf. $mut.
1126	KN Xd 8734	KN Xd 8734, ]q°a°-r°a°[ _ $inf. $mut.
1127	KN Xd 8748	KN Xd 8748, ]2°0° _ [ _ ]3 _ [ _ $inf. $mut.
1128	KN Xd 8751	KN Xd 8751, _ $sup. $mut. ]40 __ [ _ $inf. $mut. ↓ _ $sup. $mut. ]1°0°1°[ _ $inf. $mut.
1129	KN Xd 8760	KN Xd 8760, ]te-[
113	KN Np(2) 8649	KN Np(2) 8649, ]P 2 _ [
1130	KN Xd 8761	KN Xd 8761, ]1°
1131	KN Xd 8813	KN Xd 8813, ]n°o°-[ _ $inf. $mut.
1132	KN Xd 8820	KN Xd 8820, _ $sup. $mut. ]-m°a°[
1133	KN Xd 8821	KN Xd 8821, _ $sup. $mut. ]4°1°[ ]$vac.[ _ $inf. $mut.
1134	KN Xd 8828	KN Xd 8828, _ $sup. $mut. ]1° _ [ ] $vac. [
1135	KN Xd 8829	KN Xd 8829, ]1°
1136	KN Xd 8837	KN Xd 8837, ]-n°e°[ _ $inf. $mut.
1137	KN Xd 9009	KN Xd 9009, d°a°[
1138	KN Xd 9010	KN Xd 9010, w°i°[ _ $inf. $mut.
1139	KN Xd 9037	KN Xd 9037, _ $sup. $mut. ]$vac.[
114	KN Np(1) 9112	KN Np(1) 9112, ]CROC[ _ $i°n°f°. $m°u°t°.
1140	KN Xd 9061	KN Xd 9061, _ $s°u°p°. $m°u°t°. ]$vest.[ _ $inf. $mut.
1142	KN Xd 9125	KN Xd 9125, ]r°i°-j°o°[ _ $inf. $mut. →
1143	KN Xd 9126	KN Xd 9126, a-re[
1144	KN Sc(6) 9127	KN Sc(6) 9127, e-wa[
1145	KN Xd 9129	KN Xd 9129, _ $sup. $mut. ]ke-ja ,° / k°e°[
1146	KN Xd 9130	KN Xd 9130, pa-n°a°[
1147	KN Xd 9131	KN Xd 9131, ]pi-ra-[
1148	KN Xd 9132	KN Xd 9132, ]qo[ _ $inf. $mut.
1149	KN Xd 9134	KN Xd 9134, ] _ 1 _ r°a°[
115	KN Np(2) 9306	KN Np(2) 9306, ] ___ P 1  [
1150	KN Vc(5) 9135	KN Vc(5) 9135, ]ra-jo _ 1
1151	KN Sc 9136	KN Sc 9136, _ $sup. $mut. ]-te _ [ _ $inf. $mut.
1152	KN Xd 9137	KN Xd 9137, ]$vest.[ _ $inf. $mut.
1153	KN Xd 9138	KN Xd 9138, ]t°o° , wa-te-[
1154	KN Xd 9139	KN Xd 9139, ]C°A°P°[
1155	KN Xd 9140	KN Xd 9140, _ $sup. $mut. ]$vest.[ ]64°[ _ $inf. $mut.
1156	KN Xd 9141	KN Xd 9141, ]36[ _ $inf. $mut.
1157	KN Sc 9143	KN Sc 9143, ]E°Q°U° $Z°E° 1° [ _ $inf. $mut.
1158	KN Xd 9144	KN Xd 9144, _ $sup. $mut. ]2°0
1159	KN Xd 9145	KN Xd 9145, ][[$vest.?]]
116	KN X 9362	KN X 9362, ] _ $vest.[
1160	KN Xd 9146	KN Xd 9146, ] $vacat
1161	KN Xd 9147	KN Xd 9147, ] $vacat
1162	KN Xd 9148	KN Xd 9148, ]1°
1163	KN Xd 9150	KN Xd 9150, ]$vest.
1164	KN Xd 9151	KN Xd 9151, _ $sup. $mut. ] $vacat ] $deest _ $inf. $mut.
1165	KN Xd 9152	KN Xd 9152, ][[$vest.]][°
1166	KN Xd 9153	KN Xd 9153, ] _ 1° _ [
1167	KN Xd 9158	KN Xd 9158, _ $sup. $mut. ]-d°a°-[
1168	KN Xd 9159	KN Xd 9159, ]1°
1169	KN Xd 9160	KN Xd 9160, $sup. $mut. ]$vest.[
117	KN Np(2) 9676	KN Np(2) 9676, ] _ CROC[
1170	KN Sc 9161	KN Sc 9161, $sup. $mut. ]$vest.[ ]_Graffito_[
1171	KN Xd 9162	KN Xd 9162, _ $sup. $mut. ]$vest.[ _ $inf. $mut.
1172	KN Xd 9164	KN Xd 9164, ]$vest.[ $inf. $mut.
1173	KN Xd 9165	KN Xd 9165, ] $vac. [ _ $inf. $mut. ↓? _ $sup. $mut. ]$vest.[
1174	KN Xd 9166	KN Xd 9166, ] $vac. [ _ $inf. $mut. ↓? _ $sup. $mut. ][[$vest.]][
1175	KN Xd 9167	KN Xd 9167, _ $sup. $mut. ] $vacat? ] $vacat
1176	KN Xd 9168	KN Xd 9168, _ $sup. $mut. ] $vacat
1177	KN Xd 9169	KN Xd 9169, _ $sup. $mut. ] $vac. _ [ ] $vac. [ _ $inf. $mut.
1178	KN Xd 9170	KN Xd 9170, ] $vac. __ [ ___ ]$vac.?[ _ $inf. $mut.
1179	KN Xd 9171	KN Xd 9171, _ $sup. $mut. $deest[ → _ $sup. $mut. ] $vac. ] $vac.
118	KN Np(2) 9678	KN Np(2) 9678, ]$o° P 10[
1180	KN Xd 9172	KN Xd 9172, ] Graffito [  ] Graffito [
1181	KN Xd 10001	KN Xd 10001, ] $vac. [
1182	KN U 1539	KN U 1539, pa-i-to[ _ ]*$184 2 __ [
1183	KN X 35	KN X 35, e-me-si-jo-jo _ [
1184	KN X 37	KN X 37, ru-ki-ti-j°o°[
1185	KN X 38	KN X 38, sa-me[
1186	KN X 39	KN X 39, ]ke-me-no[
1187	KN Od 44	KN Od 44, __________ w°i°-ri-[ ku-ja-ro / qa-ra [
1188	KN X 408	KN X 408, _ ]do-ke , e-u-ro-wa-[ ] _ $vac. ___________ [
1189	KN Ga(3) 409	KN Ga(3) 409, ku-ta-to , a-pu-do-si[ __ o-pe-ro ______ [
119	KN Oa 730	KN Oa 730, ]*$167 60 _ L 52 _ M 2
1190	KN X 410	KN X 410, ]a°-mi-ni-so-de[ ]mu-ki-ti , _ [
1191	KN X 430	KN X 430, ]mu-ti-ja[
1192	KN X 435	KN X 435, _ $sup. $mut. ]_$vest._[ a-mi-ni-s°i°[
1193	KN X 443	KN X 443, ]mu-ko[
1194	KN X 444	KN X 444, ?to-]sa / po-ti-ni-ja[
1195	KN X 450	KN X 450, ]°to-sa / pu-si-ja , a[
1196	KN X 451	KN X 451, si-ja-ma-t°o°[ pa-sa-ja[
1197	KN X 453	KN X 453, ]zo , / we-we-si-jo-jo , [ ]ri-si-ja ______________ [
1198	KN X 458	KN X 458, ] __ a-pu-d°o°[ ]to _______ [
12	KN Nc 4490	KN Nc 4490, ]°si-da-jo ________ M 1
120	KN Oa 731	KN Oa 731, ]L _ [[ _ ]][
1200	KN X 459	KN X 459, ]ku-mi-so  [
1201	KN Ga(3) 468	KN Ga(3) 468, ku-pi-ri-jo / ka-ra-[ __ $vacat __________ [
1202	KN X ‹506›	KN X ‹506›, __________ ti-ri[ tu-ri-so / pe-do[
1203	KN X 522	KN X 522, pa-i-to , / e[
1204	KN X 658	KN X 658, ne-wo , za-we[ → ] _ a-ro-we a-nu-to
1205	KN X 660	KN X 660, _____________ ka-[ se-to-i-ja / a°[
1206	KN X 697	KN X 697, ko-we-ja / pa-i-to[ a-nu-to-jo , [
1207	KN X 721	KN X 721, ]ke-do-ro[
1208	KN X 722	KN X 722, _________________ di-wi-pa-ra _ [ e-ra / te-wo , e-ra ,° ri-ni-jo _ 1°[
1209	KN X 723	KN X 723, da-da-re-jo-de[
121	KN Oa 732	KN Oa 732, ]re-o _ L[
1210	KN L 728	KN L 728, ] _____________ a-ro₂[-a? ]sa / a-pu-do-si , me[-sa-ta? ] _ ka-a-na _ [
1211	KN X 737	KN X 737, ko-a / ra-j°a°[
1212	KN X 742	KN X 742, to-so / e[
1213	KN X 743	KN X 743, _ ] _______________ a-[ a-]m°i°-ni-si-ja , / _ [
1214	KN X 744	KN X 744, ____________ $vac. ___ [ ma-sa-de / ti-ta-ma-i __ [
1215	KN X ‹748›	KN X ‹748›, $sup. $mut. _ ]ra , __ [ ]mi-ra , _ [ ]a-sa-mi , _ [ ]k°a°[ $inf. $mut.
1216	KN X 766	KN X 766, ] , zo-wa , a-ze-to , e[ ]_$vest.________________[ _ $inf. $mut.
1217	KN X 768	KN X 768, e-ka-te-jo , [ _ ke-ni-qe-te-w°e°[
1218	KN X 770	KN X 770, _________________ [•-•] _____ [ wi-tu-ri-jo , / a-mo-te-re __ [
1219	KN X 793	KN X 793, pa-ro , / a-da-ra-ko[
122	KN Oa 733	KN Oa 733, ]*$167+$P°E° 10 _ L 6°[
1220	KN X 795	KN X 795, ka-ta-no / wa-tu[
1221	KN X 796	KN X 796, pu-ko-to _ [
1222	KN X 974	KN X 974, ] _______ s°i°-ra-si-ja , ti-ta-ma[ ]pa-no , / ku-pe-te-jo , ko-ro-ki-no-[
1223	KN X 976	KN X 976, ___________ da-*83-ja __ po-pu-re-j°o°[ to-so / wa-na-ka-te-ro ____________ [ __ $vacat ____________________ [
1224	KN X 986	KN X 986, tu-ru-pe-te[
1225	KN X 993	KN X 993, e-we-ki-ta _ [
1226	KN Fh 998	KN Fh 998, e-ru-sa O°L°E° 1°[
1227	KN X 999	KN X 999, sa-pa-nu-wo⸤ ⸥me-no , / pe-ra₂ , w°o°[
1228	KN X 1010	KN X 1010, to-so ______ [
1229	KN X 1013	KN X 1013, ko-ro-we-ja [
123	KN Oa 734	KN Oa 734, ]jo _ 'AES' *$167+$PE[
1230	KN X 1014	KN X 1014, ]ku-ru-so , po-ro-we[
1231	KN X 1018	KN X 1018, ]ka-pu₂-s°a°-jo , / pa-na-so te-re-ta [
1232	KN X 1019	KN X 1019, ]j°o° / d°a°-mi-ni-jo , [
1233	KN X ‹1027›	KN X ‹1027›, __________________ te-r°e°[ ko-no-si-ja , / ra-wa-ke[
1234	KN X ‹1033›	KN X ‹1033›, ]ra-su-to[
1235	KN X 1041	KN X 1041, ki-ri-ko , [
1236	KN X 1045	KN X 1045, ]ru-wo , me-ri-du[
1237	KN X 1047	KN X 1047, to-sa / ka-ro-q°o°[ to-sa , / ka-tu-re-w°i°[
1238	KN X 1050	KN X 1050, ]no , / pu-sa-ra[
1239	KN X 1051	KN X 1051, ] _ a-no-qo-ta[ ] , da-ma-o-te[
124	KN M 745	KN M 745, a-ka-[ __________________ ]-jo-jo , me-n°o°[ da-pu₂-r°i°[-to-jo _ ]po-ti-ni-j°a° _ $ri *$166+$WE 2°2°[
1240	KN Ga(5) 1385	KN Ga(5) 1385, ti-ri-ti-ja / ki-ta-no[
1241	KN X 1432	KN X 1432, ]si-jo-jo , te-pa[
1242	KN X 1463	KN X 1463, a-ra-si-jo / a°[
1244	KN X 1478	KN X 1478, ]t°a°-u-na-[
1245	KN X 1525	KN X 1525, ]°ku-ru-ni-ta / t°o°[ ___$inf. $mut. ↓ ___$sup. $mut. ]°sa-nu-we-si-jo[
1246	KN Ga(5) 1538	KN Ga(5) 1538, $sup. $mut. ku-ta-ti[ da-wo , / ki[
1247	KN X 1581	KN X 1581, ma-ri-jo , s°i°[ _ po-ka-[
1248	KN Xg 1641	KN Xg 1641, a-mi-ni-si-jo , k°a°[ ]° _ $vac. [
1249	KN Xg ‹1642›	KN Xg ‹1642›, qa-no-[
125	KN M 878	KN M 878, ] ___________ *$166+$WE 18 ] _ e-to-ro-qa-ta _ 16 ↓
1250	KN X 1801	KN X 1801, $sup. $mut. pi-za-ra ____ [ ra-ni _______ [ sa-[ pi-ri-[ __ $vacat _ [ __ $vacat _ [
1251	KN X 1802	KN X 1802, u-ta[
1252	KN Xg ‹1901›	KN Xg ‹1901›, sa-so[
1253	KN X 2002	KN X 2002, z°e°-wa-so / p°i°-[
1254	KN X 2003	KN X 2003, ]ni-sa-[ ]te-u[
1255	KN Dp 2011	KN Dp 2011, ] 330[
1256	KN Xf 2128	KN Xf 2128, o-pi[ _ we-a[ ↓ 60[
1257	KN X 2131	KN X 2131, ]a[
1258	KN X 2132	KN X 2132, ]te-wi-ja[
1259	KN X 2134	KN X 2134, te[
126	KN M 1808	KN M 1808, _ $sup. $mut. ]*$166+$WE 1
1260	KN X 5006	KN X 5006, ] _ u-ta-no , / a-[ ] ____ u-ta-no , __ [
1261	KN X 5033	KN X 5033, ]-si-ja / $vest.[
1262	KN X 5034	KN X 5034, $sup. $mut. _ ]$vest.[ ] _ $vacat ] _ $vacat →
1263	KN Ak(2) 5037	KN Ak(2) 5037, ]2 _ [° ]9 ] $vac.
1264	KN X 5040	KN X 5040, ______________ a-p°i°[ se-to-i-ja , / o-pi[
1265	KN Dn 5042	KN Dn 5042, ] 2000[
1266	KN X 5044	KN X 5044, $sup. $mut. ]i°-ta[
1268	KN X 5074	KN X 5074, ma-ti-[
1269	KN X 5173	KN X 5173, $sup. $mut. ___ ] $vest.[ ]-p°i° , ki-ri[ ] $vac. [
127	KN Od(4) 485	KN Od(4) 485, ] __ ko-ro[-to ]o-nu-ka _ LANA [
1270	KN Dv 5178	KN Dv 5178, ]°qa-sa[
1271	KN X 5242	KN X 5242, ]-jo[
1272	KN X 5309	KN X 5309, ]re-u[
1273	KN Dk(2) 5326	KN Dk(2) 5326, $sup. $mut. ]2° _ M°[
1274	KN X 5334	KN X 5334, $sup. $mut. o°-pi ______ [ _ ] $vac. _ [ $inf. $mut.
1275	KN X 5337	KN X 5337, $sup. $mut. ke-[
1276	KN Dv 5346	KN Dv 5346, ta-pa-[
1277	KN X 5422	KN X 5422, ]6 _ [
1278	KN Fh 5468	KN Fh 5468, ]to-de[
1279	KN X 5509	KN X 5509, ri-*65[ ↓ tu-[
128	KN Od(4) 486	KN Od(4) 486, ko-]ro-to _ [ ___]-ta-ma-[
1280	KN X 5512	KN X 5512, tu-n°i°[
1281	KN X 5513	KN X 5513, ]°ra-to-po-r°o°[
1282	KN X 5514	KN X 5514, a-]mi-ni-si[
1283	KN X 5516	KN X 5516, ]*64-jo , [
1284	KN X 5521	KN X 5521, ]s°i°-jo , [
1285	KN X 5522	KN X 5522, k°e°-n°e°[
1286	KN X 5525	KN X 5525, ]te-ja-ro _ 1°[ ] _ $vac. __ [
1287	KN X 5529	KN X 5529, ]  1 _ a-m°e°[
1288	KN X 5531	KN X 5531, ]-te-re-w°a°[
1289	KN X 5534	KN X 5534, ku-t°a°[ _ $vest.[
129	KN Od(4) 487	KN Od(4) 487, ko-ro-]to _ LANA _ M 1 _ [ ______]-ka __ LANA 2 _ [
1290	KN X 5537	KN X 5537, ]n°i°-ja / $vest.[
1291	KN X 5554	KN X 5554, $sup. $mut. ]me[
1292	KN X 5560	KN X 5560,  ] _________ $vest.[  ]k°e° / po-se-da-o-[
1293	KN X 5570	KN X 5570, $sup. $mut. _ ] $vest. [ ]t°a° / da-wo[
1294	KN X 5577	KN X 5577, [•]-pi-da-m°o°[
1295	KN X 5578	KN X 5578, ]si-jo  [
1296	KN X 5583	KN X 5583, ] _ 2 _ [ _ ]2 __ [
1297	KN X 5586	KN X 5586, _ ]3 ] $vac.
1298	KN X 5594	KN X 5594, _ $sup. $mut. wa-te[
1299	KN X 5602	KN X 5602, mi[
13	KN Nc 5100	KN Nc 5100,  ] _ M '$RI' 8 _ $O _ M 4  ]2 _ $KE _ M 10 _ *$146 6
130	KN Od 502	KN Od 502, ________ pa-i-to __________ [ we-we-si-jo-jo _ × _ LANA 11[
1300	KN X 5603	KN X 5603, __$sup. $mut. t°a°-[ ↓ $vest.[ __$inf. $mut.
1301	KN X 5614	KN X 5614, ]55[ $inf. $mut.
1302	KN X 5617	KN X 5617, ]ta-na-d°u°[ $inf. $mut.
1303	KN X 5673	KN X 5673, ]23°
1304	KN X 5699	KN X 5699, ta-[ $inf. $mut.
1305	KN X 5716	KN X 5716, $sup. $mut. ]a-re[ $inf. $mut.
1306	KN X 5722	KN X 5722, qa-ra , a[
1307	KN X 5723	KN X 5723, me-na-wa-te[
1308	KN X 5727	KN X 5727, ]a°-ja-me-na , a[
1309	KN X 5732	KN X 5732, po-ku-te-r°o°[
131	KN Od(1) 539	KN Od(1) 539, o-pi ti-mu-nu-we _ LANA 2[
1310	KN X 5735	KN X 5735, ku-[ $vest.[
1311	KN Np(2) 5737	KN Np(2) 5737, ma-sa[
1312	KN X 5743	KN X 5743, a-]pu-do-si[
1313	KN Dq(4) 5750	KN Dq(4) 5750, wi-na-jo[
1314	KN X 5751	KN X 5751, ] ,° di-du-mo[
1315	KN X 5756	KN X 5756, ]-re-wi-[
1316	KN X 5759	KN X 5759, ]te-u , / e-se-[ _ ]$vac.[ $inf. $mut.
1318	KN X 5784	KN X 5784, da-]*22-ti-[
1319	KN X 5796	KN X 5796, po-ko-me[
132	KN Od(1) 562	KN Od(1) 562, _ ]°o°-pi , no-nu-we , 'a-ti-pa-mo' pe-re __ LANA 91 ]°si-da-jo , pe-re 'po-ro-to' ____________ LANA 42 __ a-po-te , pe-re _____________________ LANA 69
1320	KN X 5825	KN X 5825, ]ri[
1321	KN X 5826	KN X 5826, ]-so[
1322	KN X 5832	KN X 5832, ]ra-so[
1323	KN X 5881	KN X 5881, ]ti-ta-ma ,° ma[ ] _ $vac. ____ [
1324	KN X 5889	KN X 5889, to-so[
1325	KN X 5897	KN X 5897, ]te-wa-[
1326	KN X 5904	KN X 5904, da-ma[ $vest.[ $inf. $mut.
1327	KN X 5952	KN X 5952, ]po-ru-o[ _ ]$vest.[ $inf. $mut.
1328	KN X 5960	KN X 5960, ra-[
1329	KN X 5962	KN X 5962, ]me-tu / su-ri-jo , mo[
133	KN Od(1) 563	KN Od(1) 563, ri-jo-ni-jo , / e-ze-to , to-ro-qo a-to-mo-na , / su-mo-no-qe _ LANA 14
1330	KN X 5964	KN X 5964, $sup. $mut. ]*5°6°-ko-we[ _ e-]ko-so[ $inf. $mut.
1331	KN X 5968	KN X 5968, ] _____ ru-ka[ ___________ ] $vac. [ ]do-ro / ___ [ ___________ ] 17 _ [
1332	KN X 5970	KN X 5970, __$sup. $mut. ______ ]$vest.[ ]no , / ma-r°i°[
1333	KN X 5979	KN X 5979, ] , me-[
