scan	beast	blade	verdict	reason	context
A	gera	skera	NOT-AGENT:separate	"""saddi gera"" = HE sated the wolf (feeding); ""benjar skera"" = HE cut wounds. Both have the king as subject"	ddi hann drengi snara viba hygg ek bragna bera buolungs nafn er saddi gera hraustan spurbak visa vera vppnum kunni hann benjar skera 17b hjarta
A	vargi	skar	NOT-AGENT:separate	"OCR-broken ""vargfaedir""; skar eggjum subject = eggjandi, wolf is patient of raud granar"	s und skildi eggfnnga skar eggjum eggjandi for seggja vargfae ir rauo vargi varghollr granar morgum 29b hilmir rau5 ok hjalma hjalmskob i dyn mal
A	vargi	skar	NOT-AGENT:separate	"""raud granar morgum vargi"" = reddened the jaws for many a wolf (dative, feeding); skar has eggjandi as subject"	nnga skar eggjum fjor seggja varg hollr vargfaeoir rau8 granar morgum vargi den kampbehaendige styr bjorn begyndte meget tidlig pa kampe krigeren
A	hrafna	hjoggu	NOT-AGENT:separate	"hrafna is a kenning determinant; grafna ""engraved"" is not a blade verb governed by the bird"	gi hjoggu sversum visa ferbir vaegoar trausar valskrar pj6 5ar veigar hrafna knifum grafna attmaelt 38a maetr rauo magnus hneiti mildr fylkir vann
A	vargr	hjo	NOT-AGENT:separate	"""vargr fagnadi tafni"" = wolf rejoiced in prey; hjoggum ver = Kraakumal refrain, human subject"	volnir fell at vigi vasat einn konungr meiri val rak vitt of strandir vargr fagnaoi tafni 10 hjoggum ver mes hjgrvi hildr vas synt i vexti 11 hjo
A	orn	hjoggu	WINDOW-ARTEFACT	blade verb (hjoggu) belongs to the NEXT stanza; a stanza number intervenes	atinn verdi opt sytir sa aevi es aldrigi nistir ilt kveda argan eggja orn at sver a leiki hugblauoum komr hvergi hjarta sitt at gagni 21 hjoggu
A	vargi	hoggva	NOT-AGENT:separate	"""gaf vargi segg"" = gave a man to the wolf (feeding, dative); hoggva has the warrior as subject"	graum blakki geitis sylg at veita rpkk at romu dokkri raunmargan gaf vargi segg ok sart nam hoggva svinnr at ifu minni 5 annat var j a er inni e
B	ulfs	sker	FALSE-POSITIVE	"""sker"" here is the NOUN skerry, and Ulfsfot/Sota are place-names"	kank til margs en manna minni fyrsta sinni hann raud aestr fyr austan ulfs fot vid sker sota 2 t ar vas enn es qnnur aleifr ne svik fplusk odda
B	ara	skorit	TARGET	"Sigvatr, Knutsdrapa st.1 -- OCR variant of ""Ellu bak"" in the replicate scan"	til dyrdar djuprod kuna stjupi 1 ok elin bak at let hinn s sat ivarr ara jorvik skorit 2 ok senn sonu slo hvern ok tho asalrads eda ut ilaemdi
B	ara	skorit	TARGET	Sigvatr, Knutsdrapa st.1 -- the disputed passage itself	kvinden hende 10 1 ok ivarr hinn s sat at jorvik let bak ellu skorit ara og ivar han som residerede i york ristede orn pa ellas ryg 2 ok kmilr
B	orn	skorit	TARGET	Sigvatr, Knutsdrapa st.1 -- the disputed passage itself	vik let bak ellu skorit ara og ivar han som residerede i york ristede orn pa ellas ryg 2 ok kmilr slo senn sonu adalrads eda ok tho flaemdi hve
B	ara	skar	NOT-AGENT:kenning	"""ara braedis"" = eagle-feeder, a WARRIOR kenning; skar has the ship/king as subject (salt skar hufi)"	baud ut enn ungi eggrjodandi thjooum fim bar hird til homlu hervaedr ara braedis salt skar hufi heltum hraustr thjodkonungr austan boru brimlo
B	ara	skar	NOT-AGENT:kenning	"""ara braedis"" = eagle-feeder, a WARRIOR kenning; skar has the ship/king as subject (salt skar hufi)"	fra garderige 2 enn ungi eggrjooandi baud thjodum iit thiug lim hiro ara braedis bar hervaeor til homlu hraustr thjookonungr skar austan salt
B	hrafn	rista	NOT-AGENT:kenning	"""hrafn gaelir"" = raven-gladdener, WARRIOR kenning; rista has the gilded prows as subject"	rald finna 1 gramr sas gerdir grund lykr stofnum nordr fra eyrarsundi hrafn gaelir sparn hpfn langskipa haeli brandar golli glaestir rista hvast
B	hrafni	hoggva	NOT-AGENT:name	OCR variant; Hrafn is a personal name, subject of hoggva	rjots en hrumr at fotum dromrae og varselsvers 1 1008 vissak hrafu en hrafni hvoss kom egg i leggi hjaltuggudum hoggva hrynfiski mik brynju thas h
B	hrafn	hoggva	NOT-AGENT:name	"Hrafn is a MAN'S NAME here (Gisli/Bjorn material): ""I knew Hrafn to strike me""; hoggva is his sword-blow"	arlige jeg har hort niije stenkast bragede mod skibsiden drv 1 vissak hrafn hoggva mik hjaltugguoum hrynfiski brynju en hvoss egg kom i leggi hra
B	hrafni	hoggva	NOT-AGENT:name	same passage: dative of the personal name Hrafn	afn hoggva mik hjaltugguoum hrynfiski brynju en hvoss egg kom i leggi hrafni thas hraeskari hlaut vada fen hlyra benja gunn sproti gunnar runna kl
B	gera	skera	NOT-AGENT:separate	"""saddi gera"" = HE sated the wolf (feeding); ""benjar skera"" = HE cut wounds. Both have the king as subject"	ddi hann drengi snara vida hygg ek bragna bera budlungs nafn er saddi gera hraustan spurdak visa vera vppnum kunni hann benjar skera 17b hjarta
B	vargi	skar	NOT-AGENT:separate	"""skar eggjum"" subject = eggjandi (the inciter); wolf is PATIENT of raud granar (reddened jaws)"	inga skar eggjum fjpr seggja varg hollr vargfoedir raud granar morgum vargi den kampbehaendige styr bjorn begyndte meget tidlig pa kampe krigeren
B	hrafna	hjoggu	NOT-AGENT:separate	"hrafna is a kenning determinant; grafna ""engraved"" is not a blade verb governed by the bird"	gi hjoggu sverdum visa ferdir vaegdar traudar valskrar thjodar veigar hrafna knifiim grafna attmaelt 38a maetr raud magnus hneiti mildr fylkir van
B	hrafns	skar	NOT-AGENT:separate	"""hrafns aett"" = the raven's kin (carrion birds); hjorr skar leggi -- the SWORD cuts legs"	torr rautt blod rann thjod ridu sverd hne ferd almr hrauzk hrae bauzk hrafns aett oslaett alagshottr 40a qrt raud olafr snyrti egg gall bjorr skar
B	hrafns	hjo	NOT-AGENT:separate	hrafns in a kenning; hjo has a warrior as subject	r hjo stort at standa steinars svni fleina opt bra bann vid heiptir j hrafns sut i gras luta 27 unz seimfarra sneriu ok alnir sas hlaut hilmis sna
B	orn	hjoggu	WINDOW-ARTEFACT	blade verb (hjoggu) belongs to the NEXT stanza; a stanza number intervenes	atinn veroi opt sytir sa aevi es aldrigi nistir ilt kveoa argan eggja orn at sverda leiki hugblaudum komr hvergi hjarta sitt at gagni 21 hjoggu
