text	value	surface	kind	subject	context
duran_v1_scanA	1000	mil	words	other	uel pueblo topauan, aporreauanlos y quitabanles quanto tenian, deshonrraudolos, destruianlos las sementeras, hacianlos mil injurias y danos. temblaba la tierra dellos. quaudo lo nacian de bien, (piando se auian bien con ellos, tanto lo hacian
duran_v1_scanA	1000	mili	words	other	dela, cargauanle a cuestas, en una carguilla, pedacos de almagra y pedaeos de tizne y plumas de aguila y papel y otras mili burlerias, y enviauanlo con un mensaje al sol que se pusiese,2 que sus caualleros quedauan a su seruicio y que le daua
duran_v1_scanA	20000	veinte mil	words	other	e apercibiesen los exercitos, y asi fue puesto luego por obra; y era tan facil, que en echando el bando, luego salian veinte mil combatientes con sus armas, espadas y rodelas, que era cosa de ver el 1 ramilletes, el ceremonial mexicano exigia so p
duran_v1_scanA	1000	mili	words	other	ueros de tigres y leones manchados, que desde en adelante los diesen blancos, y que tributasen culebras vivas y otras mili sauandijas, que solo por dalles molestia y pesadumbre y onerallos4 mas se las impusieron y inventaron; y asi montecuma 
duran_v1_scanA	1000	mili	words	person	yas, gran cantidad de piedras verdes de hijada y de piedras de cristal y cornerinas y de sangre, piedras de ambar y de mili generos de piedras a que aquesta gente es aficionada en gran manera: y asi su principal ydolatria siempre se fundo en a
duran_v1_scanA	1000	mili	words	other	himecas tributaban, delicadisimamente labradas y pintadas de colores, en ellas escudos con aguilas doradas y con otras mili armas, y deuisas en ellas, y destas muchas y gran cantidad; pajaros vivos tributaban estas naciones a los mexicanos de 
duran_v1_scanA	1000	mili	words	other	e, tributauan de todos cuantos generos de fruta ay en aquellas prouincias, pifias, platanos, anonas, mameis, de otros mili generos de capotes y golosinas que en aquellas pro212 vincias se crian de guayauas, peruetanos, capotes amarillos y ne
duran_v1_scanA	1000	mili	words	other	 y tres generos: tributauan tifias prouincias indos los dias desta vida grandes cargas di' rosas ne:has y aderezadas de mili diferencias de rosas, porque las ay en esta tierra caliente muchas y muy olorosas, unas mejores que otras de delicado 
duran_v1_scanA	1000	mil	words	other	equentemente la comian, y lo que mas camino trac, es el ser persuadido y alumbrado o cegado del demonio para inventar mil generos de crueldades y muertes, como dexo ordenadas antes que muriese, y era tan seguido y creido su consejo, que no s
duran_v1_scanA	600	seiscientos	words	person	n, y yo acudire con el numero que mi sola ciudad pudiere dar y sere el primero, y el numero que quiero que vayan, sean seiscientos vecinos casados, con sus mugeres y hijos, y les doy y hago donacion de aquella tierra, que la repartan entre si, y hago
duran_v1_scanA	2000	dos mili,	words	other	r con ella, la qual pusieron a un canto de la placa, contra la qual salieron gran multitud de mancebos, que pasauan de dos mili, deseosos de ganar el premio que su nuevo rey les prometia, los quales todos eran hijos y parientes muy cercanos de seno
duran_v1_scanA	1000	mili	words	person	latzincas pensaron la mesma malicia que los mexicanos, y fue que mandaron a un valeroso capitan de su exercito que con mili hombres se quedase en una emboscada y que harian que se retirauan hasta metellos en la emboscada y que saliese de refr
duran_v1_scanA	24000	veinte y cuatro mili	words	other	ntados los unos y los otros, porque queria sauer que numero de gen288 te lleuaua; y hecho su mandado aliaron que auia veinte y cuatro mili combatientes, y creyendo era suficiente exercito para sujetar u bfechnacan y a otra mayor prouincia, mando partiese el 
duran_v1_scanA	40000	quarenta mili	words	person	ponian por alli el oydo y escuchauan todo lo que en el exercito se trataua; y alcanzaron a sauer como el tarasco traia quarenta mili hombres de guerra y que las armasen que mas estribaua eran las hondas y varas tostadas arrojadizas, arcos y flechas y m
duran_v1_scanA	1000	mili	words	person	 trae quarenta 1 tiendas de campana. - ln - t , o tunel, como hoy se le denomina, olvidando el castellano. 289 mili hombres, todos gente robusta, alta y valiente: ya veis que nos sobrepuja en diez y seis mili hombres; ¿que os parece qu
duran_v1_scanA	16000	diez y seis mili	words	person	na, olvidando el castellano. 289 mili hombres, todos gente robusta, alta y valiente: ya veis que nos sobrepuja en diez y seis mili hombres; ¿que os parece que deuemos hacer? los grandes, viendo la flaqueca que el rey mostraua, lo animaron y esforzaro
duran_v1_scanA	1000	mili	words	other	o vino ante el rey, mostrando pesar del mal suceso del dia pasado, le hico una platica consolatoria y alcauo le ofrecio mili cargas de flechas y de rodelas y espadas y hondas y otros generos de armas que ellos usauan, ofreciendole gente de guer
duran_v1_scanA	400	quatrocientos, y	words	other	liaron que de los mexicanos auian escapado solo ducientos, y de los tezcucanos quatrocientos, y de los tepanecas otros quatrocientos, y de los chalcas otros quatrocientos, y de los xuchimilcas y de toda la chinampa otros quatrocientos; de los otomites, qu
duran_v1_scanA	400	quatrocientos, y	words	other	pado solo ducientos, y de los tezcucanos quatrocientos, y de los tepanecas otros quatrocientos, y de los chalcas otros quatrocientos, y de los xuchimilcas y de toda la chinampa otros quatrocientos; de los otomites, que es la cuauhtlalpan, do auian escapa
duran_v1_scanA	400	quatrocientos	words	other	 tepanecas otros quatrocientos, y de los chalcas otros quatrocientos, y de los xuchimilcas y de toda la chinampa otros quatrocientos; de los otomites, que es la cuauhtlalpan, do auian escapado sino trescientos, pocos mas, y de toda la tierra caliente
duran_v1_scanA	20000	veinte mili	words	person	trescientos, pocos mas, y de toda la tierra caliente, muy pocos; de suerte que se hallo que auian muerto en la guerra veinte mili hombres, antes mas que menos. hecha la cuenta y visto el numero de los que faltauan, enviaron luego sus mensajeros a tla
duran_v1_scanA	420	quatrocientos y veinte	words	person	mpecaron a maniatar tantos presos, que pensando auer licuado lo mexor de la batalla, venidos a la quenta aliaron menos quatrocientos y veinte soldados que de aquel rencuentro les auian lleuado, y contados los que en su poder auia, aliaron setecientos, y aunque 
duran_v1_scanA	700	setecientos, y	words	other	uatrocientos y veinte soldados que de aquel rencuentro les auian lleuado, y contados los que en su poder auia, aliaron setecientos, y aunque les peso y tuvieron gran dolor de sus hijos y hermanos, pero consolose el rey con decir a la gente del exercito
duran_v1_scanA	420	quatrocientos y veinte	words	person	 la otra mitad llevauan todas las cauelleras sueltas y tendidas en senal de luto y tristeca, por auer perdido aquellos quatrocientos y veinte hombres; y haciendo todas las cerimonias que solian, haciendo pasar a los presos por junto al ydolo y comer de la tier
duran_v1_scanA	700	setecientos	words	person	el hasta que se cansaua., y luego aquellos que representauan los dioses sucesivamente, hasta que se acauaron aquellos setecientos hombres presos que de la guerra de tliliuhquitepec auian traido; los quales acauados, quedando todos tendidos junto al 
duran_v1_scanA	2000	dos mil	words	other	on del qual salian todos aquellos senores y reyes y hacian un solene bayle y muy pausado y graue. al qual saldrian sus dos mil 319 senores y caualleros y principales, todos vestidos y aderezados muy curiosamente a costa del rey y de sus tesoros
duran_v1_scanA	1000	mili	words	person	a, y entre los unos y los otros se trabo una brava escaramuza; pero los mexicanos que siempre eran manosos y usauan de mili enganos y ardides de guerra, hicieron de la gente tezcucana y de la tepaneca, xuchimilca y chalca el cuerpo y rostro de
duran_v1_scanA	1000	mili	words	other	 la piedra del sol los sacrificaron a todos, y por no me alargar, pues la ystoria asi lo quenta. entiendo fueron casi mili los (pie alli murieron en la coronacion del rey auuzotl; lo (pial concluido, otro dia se despidieron los reyes y senore
duran_v1_scanA	1000	mili y	words	other	"ego que dio fin u esta guerra el rey. auitzotl, de que eraos venido tratando, el ano segundo de su reinado, que fue de mili y quatrocicntns y ochenta y siete, que ellos eontauan ocho canas,"" determino de dar fin al edificio del templo y aeauallo "
duran_v1_scanA	80400	ochenta mili y quatrocientos	words	person	y tliliuhquitepecas y cholultecas y tecoacas y cacatecas, capotecas y guastecas, tzincoacas y tu^apanecas y tlapanecas, ochenta mili y quatrocientos ' hombres que sacrificar en la estrena del templo de mexico y solenidad del, de 16 quat satisfecho el rey, sentandose e
duran_v1_scanA	80000	ochenta mili y	words	person	 turo este sacrificio quatro dias arreo, desde la manana hasta puesta del sol, y que murieron en el, como dexo dicho, ochenta mili y quatrocicntos hombres de diversas provincias y ciudades, lo qual se me higo tan increible, que si la historia no me fo
duran_v1_scanA	80000	ochenta mili	words	other	 lugar de las calauernas, y que las que asta entonces auian estado, fuesen quemadas; y asi fue hecho, que trayendo las ochenta mili calauernas y quatrocientas mas, fueron puestas en la recien hecha palicada, todas espetadas por las sienes, y todas la
duran_v1_scanA	400	y quatrocientas	words	other	s, y que las que asta entonces auian estado, fuesen quemadas; y asi fue hecho, que trayendo las ochenta mili calauernas y quatrocientas mas, fueron puestas en la recien hecha palicada, todas espetadas por las sienes, y todas las que quitaron quemaron y hi
duran_v1_scanA	400	quatrocientas	words	other	uy ecesivos tributos en castigo de su reuelion, a los quales, segun la ystoria, mando le tributasen cada ochenta dias quatrocientas cargas de cacao y diez cargas de mantas y otras tantas de ropas mugeriles, con otras cosas de frutas y comidas y de tod
duran_v1_scanA	400	quatrocientos	words	person	por tanto, yo e pensado en ello, y considerando ser aquellas ciudades populosas y grandes, quiero enviar de mi ciudad quatrocientos vecinos casados, que de mi parte vayan, y que cada uno de vosotros envie de su prouincia otros quatrocientos, que sean
duran_v1_scanA	400	quatrocientos,	words	other	i ciudad quatrocientos vecinos casados, que de mi parte vayan, y que cada uno de vosotros envie de su prouincia otros quatrocientos, que sean por todos mili doscientos, y que de todas las demas prouincias vayan cada veinte vecinos que se juntaran, otr
duran_v1_scanA	1200	mili doscientos, y	words	person	ados, que de mi parte vayan, y que cada uno de vosotros envie de su prouincia otros quatrocientos, que sean por todos mili doscientos, y que de todas las demas prouincias vayan cada veinte vecinos que se juntaran, otros ochocientos, de suerte que vayan dos
duran_v1_scanA	800	ochocientos,	words	person	 sean por todos mili doscientos, y que de todas las demas prouincias vayan cada veinte vecinos que se juntaran, otros ochocientos, de suerte que vayan dos mili vecinos, mili para cada ciudad. el rey de tezcuco replico, que le parecia bien su determina
duran_v1_scanA	2000	dos mili	words	person	 y que de todas las demas prouincias vayan cada veinte vecinos que se juntaran, otros ochocientos, de suerte que vayan dos mili vecinos, mili para cada ciudad. el rey de tezcuco replico, que le parecia bien su determinacion y que aquello no era cos
duran_v1_scanA	1000	mili	words	person	s demas prouincias vayan cada veinte vecinos que se juntaran, otros ochocientos, de suerte que vayan dos mili vecinos, mili para cada ciudad. el rey de tezcuco replico, que le parecia bien su determinacion y que aquello no era cosa nueva en en
duran_v1_scanA	400	quatrocientos	words	person	 que aquello no era cosa nueva en enviar a poblar tierras desiertas, que ya otras veces se auia hecho; pero que sacar quatrocientos vecinos de la ciudad de mexico, que le parecia inconviniente y mucha quiebra para la republica mexicana; que no era su 
duran_v1_scanA	1000000	un millon	words-millon	person	ible de escriuir, pues de cada prouincia y ciudad venian, de ochenta en ochenta dias, a traer el tercio de su tributo un millon de indios cargados, con quantos generos de cosas y savandijas la tierra produce; y no sera encarecimiento, pues se lee 
duran_v1_scanA	200000	docientos mili	words	person	o, de lo qual fue* dada noticia al rey auitzotl, como todas las gentes estaban muy a punto y que hallaban auria juntos docientos mili soldados, sin otra mucha gente de carga que iba, y muchachos que se holgaban de ir con el exercito, toda gente muy luc
duran_v1_scanA	300000	trecientos mil	words	person	on sus riqueeas y atavios be senalauan entre toda la demas gente. luego partio todo el exercito, que entre todos yrian trecientos mil hombres, con los que de aquellas prouincias se les auia juntado, todos los quales fueron ti hacer alto en terminos de u
duran_v1_scanA	60000	sesenta mil	words	person	er las albarradas, y subio tan de improuiso tanta gente sobre ella, que dexandose descolgar dentro de la ciudad mas de sesenta mil soldados, con las espadas y las rodelas atadas a los cuellos, empegaron a hazer lo que solian, que era matar y robar, ta
duran_v1_scanA	5100	cinco mil y ciento,	words	person	los, les dexo un gouernador y partio para mexico con todo su exercito, llevando los presos por delante, los quales eran cinco mil y ciento, los que entre todas las companias auian captivado, repartiendo todos los despojos a los soldados y a los senores, con m
duran_v1_scanA	1000	mil	words	person	na, y no solo en esto, pero en la abundancia de la comida, ile la qual, quenta la historia, que enfrailan cada dia, de mil indios para arriba cargados, en mexico, de venados que era principal carne que coniian y de conejos, liebres y codornice
duran_v1_scanA	8000	ocho mil, y	words	other	a carneros o uacas, y no lo encaresco muncho, pues auia dias de dos mil, tres mil hom431 bres sacrificados, y dia de ocho mil, y otros de a cinco mil, la qual carne se confian y hacian fiesta con ella despues de auer ofrecido el coracon al demonio
duran_v1_scanA	5000	cinco mil,	words	other	no lo encaresco muncho, pues auia dias de dos mil, tres mil hom431 bres sacrificados, y dia de ocho mil, y otros de a cinco mil, la qual carne se confian y hacian fiesta con ella despues de auer ofrecido el coracon al demonio. ' acabado el sacri
duran_v1_scanA	8000	ocho mil	words	other	ceme que el p. duran no quiso decir en este periodo lo que el suena; esto es, que en cada fiesta sacrificaban de dos a ocho mil victimas: tal especie seria aun absurda, pues conocemos el ritual y sabemos cual era el numero ordinario, segun la fest
duran_v1_scanA	1000	mil	words	other	de buen coracon y blandas entranas, como ellos dicen, hacen muy poco caso del, y en lugar de agradalle le hacen beber mil hieles; y asi queriendo estas prouincias ver y experimentar el brio con que monteguma entraua a reynar, manda1 ministros
duran_v1_scanA	10000	diez mil	words	person	era racion tener; la qual despues, andando el tiempo, libro a toda su ciudad y a su marido, avisandole do una celada de diez mil mexicanos que estauan encubiertos dentro de tequantepec, enviados por montegujna para destruylla, a causa de que despue
duran_v1_scanA	10000	diez mil	words	person	 forasteros y guespedes tuviese en su casa, sin que quedase nenguno a vida, lo qual se executo y mataron aquella noche diez mil soldados muy valerososy valientes, todos mexicanos que auian llegado, los quales iban entrando poco a poco. pero tornan
duran_v1_scanA	400000	quatrocientos mili	words	person	xico tan solo que casi no parecia gente en la ciudad, porque fue a esta guerra gente que cubria el sol, que pasauan de quatrocientos mili combatientes, todos gente muy lucida y bien aderecada, en lo qual se esmero monteguma, mas que ninguno de sus anteceso
duran_v1_scanA	100000	cien mili	words	person	batalla. monteguma mando que saliese al campo la gente tezcucana sola, con toda su prouincia, que por lo menos serian cien mili combatientes, y salidos al eampo empegaron una renida batalla, la qual buro iodo el dia. sin poderse conocer ventaja en
duran_v1_scanA	100000	cien mili	words	person	enalado, que fue a una aldea que se dice atzitziuacan, subjeta de papayocan. recogido alli todo el exercito, que eran cien mili soldados y gente muy illustre y principal de todos tres reynos, muy galanos, costosos y vistosos, donde salieron los v
duran_v1_scanA	200000	doscientos mili	words	person	"se el rey en mexico; y dado auiso de que todos fuesen a hacer alto a ^apotitlan, dentro de quinto dias se hallaron alli doscientos mili hombrea"" de guerra de todas las prouincias, gente muy lucida, los quales muy en orden vinieron a los terminos de yancui"
duran_v1_scanA	1000	mil,	words	person	 llegada la fiesta de los desollados, fueron sacrificados los indios presos que truxeron de yancuitlan, que pasaron de mil, con la muerte de los quales se acabo la fiesta, k la qual fueron convidados los de la otra parte de la sierra nevada, 
duran_v1_scanA	4000	quatro mili	words	person	, que por lo menos serian 1 o tecutepec, segun so lee en la coleccion de mendoza. 2 teuctepecas. 59 458 como quatro mili soldados de todos tres exercitos, y empegaron a uauar refriega y escaramuce con los de la ciudad, y salio tanta gente d
duran_v1_scanA	2300	dos mili y trescientos,	words	person	rque tenia quatro cercas altisimas y la gente muncha y muy belicosa y valiente, poniendo todos los presos, que fueron dos mili y trescientos, en sus colleras y sogas los echaron por delante, con toda la guarda que pudieron, y no osando detenerse partieron para l
duran_v1_scanA	2300	dos mil y trescientos	words	person	selo primero al sol. empegose este sacrificio desde medio «lia, el qual se acallo ya noche cerrada, en el qual mataron dos mil y trescientos hombres, de cuya sangre estaba todo el templo y las gradas del banado, porque en sacando que les sacaban el coragon, l
duran_v1_scanA	8200	ocho mili y docientos	words	person	s la noche hallaron los mexicanos en su exercito muy gran perdida de gente de todas tres prouincias porque le faltaron ocho mili y docientos soldados muy valientes y gente muy ¡ilustre, entre los quales faltauan tres capitanes valerosisimos, parientes muy cerca
duran_v1_scanA	2000	dos mili	words	person	ia a monte^uma, y en particular de como los tlatilulcas se auian senalado en lo mas principal y que entre todos traian dos mili soldados presos auidos y captiuados en aquella guerra, sin las mugeres y ninos esclavos que traian, y que gran numero d
duran_v1_scanA	500	quinientos	words	other	ictimas de becerros y corderos que sacrificaban en el templo. llegados todos a mexico, entraron los de tlatilulco con quinientos captivos a presentarse a monteguma, el qual, con parecer de los grandes, los recibio a su gracia y recibio el presente 
duran_v1_scanA	2000	dos mili	words	other	 en aquel cerro gran numero de hombres, ofreciendolos en vitimas al dios del fuego; y asi sacrificaron a este dios los dos mili cativos que truxeron de la destruicion y guerra deteuctepec, que poco a contamos; el qual sacrificio turo desde media n
duran_v1_scanA	1000	mil	words	person	o dedicados, que eran dos vestidos en figuras de aguilas y dos en figura de tigres. a este sacrificio sacaron este dia mil indios mistecas y los sacrificaron con el modo que en los capitulos pasados e contado mas a la larga, y como en el libr
duran_v1_scanA	610	seiscientas y diez	words	other	 pariente muy cercano, el gran tezumpantecutli, senor de cuitlauac, que tambien tenia sus prophecias y sabia en el caso seiscientas y diez ciencias, las quales declaraba con grandisima facilidad? tambien veo que se murio: ¿ pues que sera de mi. que soy ignor
duran_v1_scanA	20000	20,000	digit-group	person	servada en el codice telleriano remenso, designa con los caracteres numericos que usaban loa mexicanos, la cantidad de 20,000, que todavia parece excesiva. — el codice del vaticano designa con los mismos caracteres 400 tnenos; tal vez por desc
duran_v1_scanB	1000000	millones	words-millon	person	e serian 100 4 de la mar, ejercitada en aquel menester mas que en ardides de guerra, se atreviesen a acometer a millones de indios que en la tier¬ ra auia, encaminado todo por la mano del supremo sefior, que fuo su divina voluntad se cumpl
duran_v1_scanB	1000000	millones	words-millon	person	d se cumpliese lo a estas gentes prometido en la sagrada escriptura, y que trescientos hombres acometiesen a tan¬ tos millones de gentes, y que todos aquellos millones de gentes tuviesen un coraron tan asombrado y cobarde, que huyesen de los tre
duran_v1_scanB	1000000	millones	words-millon	person	o en la sagrada escriptura, y que trescientos hombres acometiesen a tan¬ tos millones de gentes, y que todos aquellos millones de gentes tuviesen un coraron tan asombrado y cobarde, que huyesen de los trescientos, el qual hoy en el dia le tienen
duran_v1_scanB	902	novecientos y dos	words	other	rme a su flema y natural inclinacion, espa¬ ciosa y tardia; y asi llegaron a este lugar de la nueva espada el afio de novecientos y dos. los que salieron de aquellas cuevas fueron los 1 2 * * seis generos de gentes; conviene a saber: los xuchimilcae, l
duran_v1_scanB	602	seiscientos y dos	words	other	ra que los mexicanos poseyeron esta tierra trescientos y un altos despues que a ella llegaron, y las de¬ mas naciones seiscientos y dos. el de xuchimilco, como primero en su llegada, despues de auer rodeado todo el circuito de la lagu¬ na grande, pareci
duran_v1_scanB	1000	mil	words	other	de muchas diferencias, asi de la tierra como de espana, de donde se proveen todas las ciudades comar¬ canas; llena de mil diferencia de flores odoriferas, unas mejores que otras. riquisima de algodon, donde acude el trato de toda la tierra 
duran_v1_scanB	1000	mil	words	other	 en celada *, 7 otros que con mucho secreto les hurtasen las armas de rodelas 7 porras 7 espadas de palo,-; con otros mil generos de ar¬ mas que para ofender tenian, 7 uniendoles fingido la paz 7 dado de comer, auiendoles hurtado las armas,
duran_v1_scanB	1000	mil	words	other	o donde puedan hacer una ciudad; mi¬ rad que lugar os parece que se les de.” auido entre todos su conse¬ je, lleno de mil contradiciones, demandas y respuestas, mostrandose 1 refierese probablemente al arma mexicana, llamada atlatl, especie
duran_v1_scanB	1318	mili y trescientos y diez y ocho,	words	other	 capitulo vi. 1 del primer rey de mexico, llamado acamapich, y de lo sucedido en el tiempo que reine. el afio de mili y trescientos y diez y ocho, despues del nacimien¬ to de nuestro redentor jhu. x?, empegaron los mexicanos a edi¬ ficar la giudad de mexico y hager
duran_v1_scanB	1404	mili y quatrocientos y quatro	words	other	s dellos fueron reyes y muy valerosos, y dellos capitanes y de gran¬ des ditados como adelante dire. murio el afio de mili y quatrocientos y quatro. tres afios antes que muriese auia nacido el gran sefior y rey que fue despues de tezcuco, negaualcoyotzin, que fue el
duran_v1_scanB	1000	mili y	words	other	os antes que muriese auia nacido el gran sefior y rey que fue despues de tezcuco, negaualcoyotzin, que fue el afio de mili y quatrodentos dos , el qual, de mas de ser pariente muy cercano de los reyes de mexico, fue muy favorable a los de la n
duran_v1_scanB	1404	mili y cuatrocientos y cuatro ,	words	other	ixidad no los refiero aqui. acauadas estas platicas y puesto el rey en su trono, el qual en¬ tro a reinar el afio de mili y cuatrocientos y cuatro , luego que su pa¬ dre murio, eleto como emos visto, por votos y consentimiento de todos, lo qual desde su origen y prin
duran_v1_scanB	1424	mili y quatrocientos y veinte y quatro ,	words	other	l rey itzcoatl , y los vecinos de la ciudad muy alegres y consolados con la election, la qual election fua el afio de mili y quatrocientos y veinte y quatro , luego empego ¿ entablarlas cosas de la guerra y a prouer en las cosas necesarias para ella. viendo y conociendo la pri
duran_v1_scanB	400	quatrocientas	words	person	 despues de dexar contentos a todob los principales y sefiores hermanos mios y tuyos, y que despues de auellos dado & quatrocientas baras 8 & cada uno, pues no uvo saco ni robo de que los soldados se suelen hacer pago de su trauajo, 1 vease la lamin
duran_v1_scanB	1000	mili	words	person	un lugar que llaman tecuitlatenco, hicieron alto y es¬ peraron la armada de mexico que venian por la laguna, que eran mili canoas, muy bien aderegadas de gente y paueses con gran nu¬ mero de fisgas y varas arrojadlas, flechas y rodelas y de h
duran_v1_scanB	500	quinientos	words	person	iaron ser trescientos soldados valerosos, sin otra gente comun, que eran hasta ducientos, de manera que por todos eran quinientos chalcas, los quales los llenaron a mexico, y luego otro dia que llegaron, con parecer de tlacadel y del rey, sin mas d
duran_v1_scanB	500	quinientos	words	person	crificados a su dios vitzilopochtli, cumpliendo el voto que auia hecho, y ensan¬ grentaron el templo con la sangre de quinientos hombres, y hacien¬ do un sacrificio de fuego, el mas terrible y orreqdo que se pudo pensar, quel que uviere leido la r
duran_v1_scanB	22000	diez y doce mili	words	person	 contender con ellos por tener las mas principales prouincias a su mandado y en su favor, pues a su voz salian dellas diez y doce mili hombres de guerra, todos muy bien aderezados, y si pedian veinte mili se los dauan, y si quarenta mil lo mesmo, conform
duran_v1_scanB	20000	veinte mili	words	person	y en su favor, pues a su voz salian dellas diez y doce mili hombres de guerra, todos muy bien aderezados, y si pedian veinte mili se los dauan, y si quarenta mil lo mesmo, conforme a lo que en sus contrarios sentian de valor y gente; y fueron tan po
duran_v1_scanB	40000	quarenta mil	words	other	alian dellas diez y doce mili hombres de guerra, todos muy bien aderezados, y si pedian veinte mili se los dauan, y si quarenta mil lo mesmo, conforme a lo que en sus contrarios sentian de valor y gente; y fueron tan poderosos, que <¿ien mil hombres q
duran_v1_scanB	1000	mil	words	person	quarenta mil lo mesmo, conforme a lo que en sus contrarios sentian de valor y gente; y fueron tan poderosos, que <¿ien mil hombres que quixesen poner en campo, los ponian con mucha facilidad con solo mandallo. oyda esta nueva de la rebelio
